Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,151574,f,35,high,86,88,0.006,4,4,6,4,6,4,5,4,4,4,6,6,4,6,5,5,3,6
Need for Cognition,151739,f,45,high,64,64,0.007,4,4,3,4,3,3,4,4,3,4,4,5,3,2,3,3,4,4
Need for Cognition,152009,f,18,low,74,67,1.947,4,5,5,6,5,4,6,3,2,5,2,6,1,5,5,3,3,4
Need for Cognition,152259,f,50,high,101,99,18.012,6,6,6,6,6,5,6,4,6,6,6,6,5,5,6,5,6,5
Need for Cognition,152732,f,52,high,48,41,1.452,2,2,3,3,2,3,3,2,2,4,2,2,1,4,3,4,3,3
Need for Cognition,153329,f,23,low,76,65,0.007,4,6,6,3,6,5,5,1,3,5,5,5,2,5,5,4,1,5
Need for Cognition,154026,f,22,low,57,60,0.007,4,4,4,3,3,3,2,2,1,4,5,3,3,4,3,2,3,4
Need for Cognition,154589,m,25,low,70,67,1.018,4,4,4,4,3,2,4,3,3,5,5,6,4,3,5,3,3,5
Need for Cognition,155049,f,24,low,99,97,0.016,5,5,6,6,6,6,5,6,6,5,6,6,5,6,5,5,6,4
Need for Cognition,155667,f,52,high,66,64,1.958,4,5,5,5,4,2,2,3,2,5,5,5,1,5,4,2,3,4
Need for Cognition,157374,f,21,low,78,81,0.007,5,4,6,5,5,1,6,3,3,5,5,5,5,6,4,6,3,1
Need for Cognition,157400,f,24,low,62,64,0.008,3,4,4,5,4,2,4,3,2,4,4,5,1,5,4,3,3,2
Need for Cognition,158095,m,22,low,90,95,1.849,5,6,6,6,6,4,4,4,5,6,4,6,4,6,5,5,3,5
Need for Cognition,158218,f,23,low,84,80,0.875,4,5,4,5,6,4,6,3,4,4,5,5,5,5,4,6,3,6
Need for Cognition,158572,m,50,high,81,80,0.009,4,4,4,5,6,3,5,4,4,6,5,6,4,6,4,3,4,4
Need for Cognition,158863,f,55,high,95,88,0.009,4,4,4,6,6,4,4,6,5,6,6,6,6,6,6,6,5,5
Need for Cognition,160205,f,34,high,74,63,0.026,4,4,4,5,5,4,6,1,5,5,4,4,4,4,4,4,2,5
